code	product_name	quantity	serving_size	energy_100g	fat_100g	saturated-fat_100g	carbohydrates_100g	sugars_100g	fiber_100g	proteins_100g	salt_100g	sodium_100g	ingredients_text
3501430000129	Mogettes cuisinees a la tomate			272	0.6	0.1	8.6	0.4	3.3	4.6	0.850000000000001	0.334645669291339	Moge!te dei} endée Label Rouge blanchie (4009 (aciài[ant citrique, agent de texture : chlo. rure de cal m), concentré de tomates (1%), sel marin, persil;ail, thym, poivre, laurier en poudre. Su«gestion de notre chef : Récfiuffer avec une noix de beurre. Servir seul ou en accompagnement de toutes vos viandes grillées ou rôties. Infornuttions nutritionnelles : Valeurs nutritionnelles moyennes pour 100 g, Energie : 273 kJ • 64,8 kcal ; Matieres rasses : g (dont acides gras saturés : 0,1 g) ; Gluci es : 8,62 (dont sucres : 0,4 g) ; Fibres alimentaires : 3,3 g ; protelne$ g ; Sel : 0,85 g. Fabriqué par Olvac • Z.A. des Acacias 85430 La Boissière.des•Landes • Tél. 02 51 98 03 10
3523230024815	La Bûchette de Chèvre (19% MG)	150 g e		1020	19	13.3	2.2	2.2		16.5	1.52	0.598425196850394	_Lait_ de chèvre pasteurisé, sel, conservateur : E202, ferments, colorant : charbon végétal.
3560070261369	Glace Noix de Coco	1 L		808	8.5	7.9	26	22	1.1	2.4	0.0899999999999999	0.0354330708661417	Glace à la noix de coco 97% : _Lait_ écrémé réhydraté, sucre, pâte de noix de coco 9,7%, sirop de glucose-fructose, eau, émulsifiant : mono- et diglycérides d'acides gras, arôme naturel de noix de coco, gélifiants : farine de graines de caroube et gomme guar. Noix de coco râpée 3%. Pourcentages exprimés sur l'ensemble du produit. 
3560070407613	Flocon d'avoine Bio	500g		1552	8.7	1.4	57	1	11	11	0.01	0.00393700787401575	Flocons d'avoine complets bio 100%. Peut contenir des traces de soja, de produits laitiers, de fruits à coque, d'arachide et de graines de sésame.
3560071104689	Oeufs de lompe noirs			289	3.3	0.8	0.6	0.01	1	8.7	4.99999999999999	1.96850393700787	Œuf de lompe 82% eau, sel, épaississant : gomme xanthane, acidifiant: acide citrique, conservateur: benzoate de sodium, colorants: noir brillants PN, caramel au sulfite d'ammonium
3564709019888	Knacks d'Alsace	260 g		1243	27	11	0.6	0.27		13	2.1	0.826771653543307	Viande de porc 67,9% ; eau ; gras de porc ; viande de boeuf 2,39% ; sel ; épices et plantes aromatiques ; dextrose ; émulsifiants : diphosphates, polyphosphates ; arômes naturels ; extraits dépices ; acidifiant : glucono-delta-lactone ; antioxydant : acide ascorbique ; conservateur nitrite de sodium ; boyau naturel de mouton. Traces de lait fruits à coque et poisson SERVICE CONSOMMATEURS Conservation : À consommer jusqu'au : voir Scamark - C.S.90019 sur le film supérieur. À conserver entre OOC et +400 94859 Ivry-Sur-Seine Cedex - France
3596710401857	Macédoine de Légumes			155	0.5	0.1	4.4	0.9	3.9	2.1	0.699999999999999	0.275590551181102	Légumes (légumes verts (50% minimum sur les légumes) (haricots verts coupés, petits pois, flageolets verts), carottes en dés, navets en dés), eau, sel.
3700029205727	Houmous Libanais			1159	22.2	2.4	11.6	2.6	4.8	7.6	1.29	0.507874015748031	Pois chiches cuits (48%) (eau, pois chiches, régulateur d'acidité (E500), eau, huiles végétales (colza / soja), purée de _sésame_ (13%) (contient du _sésame_) ail, sel de table, acide citrique, conservateur (E202).
4000539670503	Lapin Or Chocolat Noir	200 g		2347	39.8	24	39	35		7.9	0.04	0.015748031496063	Chocolat noisettes autre, fruits ci-coq e, nait gur9iker, ca en antlore
4008471483083	Brassé onctueux pêche passion	500 g		427	3	2	13.8	13.8	0.3	3.8	0.13	0.0511811023622047	_yaourt_ doux*, sucre de canne brut*, pêches* (8 %), jus de fruit de la passion* (1,5 %), amidon*, épaississants : farine de graines de caroube* et pectine, jus de citron concentré*.
5400111110561	Petits pois et carottes, extra fins	340 g		188	0	0	6.1	3.8	3.9	3.1	0.6	0.236220472440945	Petits pois* 31 %, carottes* 31%, eau, miel*, sel marin. * Agriculture biologique
5425600102148	Miel d'Acacia	250 g e		1264	0	0	75	75	0	0	0	0	100 % pur miel d'acacia : mélange de miels originaires et non originaires de la CE.
5710328003243	Skyr			251	0.2	0.1	3.5	3		10	0.08	0.031496062992126	INGREI)IEN'I'S : Lait écrèmé pastculisé, Ferments lactiques de Skyr (dont Liff).
7610700607046	Ricola citron melisse	50g	2,5g	983	0	0	96	0	0	0	0	0	Isomalt, acidifiant (acide citrique), extrait (0,3 %) de mé- lisse citronnelle et du mélange de 13 plantes Ricola, arôme naturel d'agrumes, édulcorants (aspartame, acésulfame-K), arôme naturel de
7613035832442	Jambon tendre noix 6 tranches	240 g	40 g	473	2.9	1.2	0.5	0.5	0.5	21	1.83	0.720472440944882	Jambon frais de porc) bouillon (eau, couennes de porc, oignons, os de porc, carottes, sel, persil, ail, clou de girofle, poivre, laurier), sel, dextrose de maïs arômes naturels, antioxydant : isoacorbate de sodium ; conservateur : nitrite de sodium.
7613035974685	Eau minérale Hépar	1 litre	1 L										LE MAGNESIUM A SA SOURCE Minératigtion caractéristique en mg/l ,Magnésium Plus de 75% femm&quot;ult6 ont un déficit en magnésium*. Boire Ilitre 1530 d'HÉPAR, c'est couvrir nccarbonate 383,7 : Galan et al J Am DietA5Œ 2002, 102:1658-1662 45 de référence. 14,2 Convient pourun r*imepawreen9diwa Sec à 1800C 2513 Eau minérale naturellericheen 613035 974685
7622210995148	Bloc Blanc Noisettes Entières 180G			2368	36	14	52	51	2.1	6.7	0.28	0.110236220472441	Sucre, noisettes (22 %), beurre de cacao, poudre de lait écrémé, lactosérum en poudre (de lait), beurre concentré, émulsifiant (lécithine de soja), arôme. Peut contenir autres ftuib à coque. A conserver à l'abri de la chaleur et le l'humidité. Witte docolade met hele hazelnoten. Ingrediënten: Suiker, hazelnoten (22 96), acaoboter, magere melkpoeder, weipoeder (van melk), melkvet, emulgator (sojaledthine), roma. Kan andere noten bevatten. Droog en uit de warmte bewaren.
8714100387054	B &J 470ML Strawberry Swirled			1230	17	9.6	32	27		3.5	0.24	0.094488188976378	.t:neglacée avec une sauce à la fraise (13%) ane sauce marshmallow ò,desmorceauxde biscuit sablé (3%), un nappage goût chocolatb!ant 910 etdes morceaux au lait en forme de en décor i. CRÈME (21%), sucre, eau, LAIT concentré écrémé, préede*fi, -L '2 glucose, huile de soja, sirop de sucre inverti, jaune dŒUP , faine de BÉ 1413 de BEURRE, amidon de BLE, CRÈME en poudre, ure deal modiWpectines, gomme guar, carraghénanes), jus de w (léòthine de SOJA), concentré de sureau, naturels, extrait de Vanille, blanc d'ŒUF en poudre. aux standardsdu commerce équitableFaiffade de sucre inverti), cacao, vanille (2004 du poids total)F. lœ ElmsuitableforVegetarian = convient à un régime à -180 . A nsommerdpréférence avantfin:voir s rue des Deux Gare'
8718836392429	Diet shake	25g	25g avec du lait	1690	9.2	1.5	58.8	43.2	0	21.1	1.3	0.511811023622047	Poudre de lactoserum, concentre de proteine
